City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Holualoa,US,78.78,scattered clouds,19.6228,-155.9522,Royal Kona Resort
77,Lebu,CL,51.6,overcast clouds,-37.6167,-73.65,Hosteria Millaneco
78,Udachny,RU,61.47,overcast clouds,66.4167,112.4,Severnoye Siyaniye
79,Taksimo,RU,56.91,clear sky,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
83,St. John'S,CA,73.27,broken clouds,47.5649,-52.7093,Courtyard by Marriott St. John's Newfoundland
87,Happy Valley-Goose Bay,CA,79.11,broken clouds,53.3168,-60.3315,Labrador Inn
88,Galle,LK,78.03,overcast clouds,6.0367,80.217,Amangalla
89,Burgersdorp,ZA,56.14,clear sky,-30.9977,26.3286,DeKat Self Catering
91,Constantia,RO,77.7,clear sky,44.1833,28.65,Maria Hotel
92,Camarinas,ES,71.19,overcast clouds,43.1311,-9.1817,Hotel O Parranda
93,West Island,CC,76.98,broken clouds,-12.1568,96.8225,Cocos Seaview Apartments
95,Lashio,MM,70.23,overcast clouds,22.9333,97.75,Golden Kinnara Hotel
98,Thompson,CA,62.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
99,Rawlins,US,75.34,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
100,Nogliki,RU,54.34,overcast clouds,51.8333,143.1667,"Hotel ""Nogliki"""
103,Semporna,MY,80.22,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
104,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Tura,IN,75.36,broken clouds,25.5198,90.2201,Hotel Sundare
107,Turbat,PK,81.36,clear sky,26.0023,63.044,Mubashar Quarters
109,Suntar,RU,59.86,overcast clouds,62.1444,117.6319,Гостевая квартира
110,Tobetsu,JP,72.1,overcast clouds,43.2169,141.5169,富士屋旅館
112,Coquimbo,CL,65.93,clear sky,-29.9533,-71.3436,Hotel San Juan
114,Chibougamau,CA,56.82,light rain,49.9168,-74.3659,Hôtel Motel Nordic
115,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
116,Hadibu,YE,79.74,scattered clouds,12.65,54.0333,Summer Land Hotel
117,Tsiombe,MG,65.93,few clouds,-25.3,45.4833,Littoral Hôtel
118,Medeiros Neto,BR,78.3,broken clouds,-17.3739,-40.2206,Pousada & Restaurante Visgueira
119,Khandyga,RU,56.73,scattered clouds,62.6667,135.6,Apel'sin
121,Rybnaya Sloboda,RU,55.74,broken clouds,55.4613,50.1409,Гостиница Аяз
122,Nadym,RU,53.04,overcast clouds,65.5333,72.5167,Apartment on Zvereva
123,Ulsan,KR,76.51,light rain,35.5372,129.3167,LOTTE HOTEL ULSAN
125,Arraial Do Cabo,BR,71.56,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
126,Plettenberg Bay,ZA,69.91,clear sky,-34.0527,23.3716,Thanda Vista B&B
128,Ambon,ID,80.87,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
129,La Passe,FR,64.63,clear sky,45.5549,-0.8967,The Old Customs House
130,Uturoa,PF,77.92,overcast clouds,-16.7333,-151.4333,Villa Tonoï
133,Fale Old Settlement,TK,82.8,scattered clouds,-9.3852,-171.2468,Best hotel in this island
134,Kranuan,TH,79.16,moderate rain,16.7067,103.0788,หอพักพรวิมล
135,Conduaga,PH,79.52,overcast clouds,8.862,117.4893,Canyogan Lodge
136,Soufriere,LC,82.0,light intensity shower rain,13.8562,-61.0566,The Downtown
137,Mersing,MY,76.91,few clouds,2.4312,103.8405,Timotel Hotel
138,Grand Baie,MU,73.87,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
140,Ambalangoda,LK,77.63,overcast clouds,6.2355,80.0538,The Beach Hotel Oasis Bridge
143,Kasimov,RU,57.83,overcast clouds,54.9411,41.3953,Hotel Kasimov
144,Dongyang,CN,71.38,overcast clouds,29.2678,120.2253,Fu Du Hotel
145,Port Alfred,ZA,66.18,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
